level_0,index,Participant,State,Activity,Minute,MET (Google Fit),Datetime,Watch Intensity,MET (Ainsworth),MET (Freedson),MET (VM3),model_classification,scaled_intensity,estimation
1694,1714,P405,lab,breathing,4,0.7944586027836096,2019-10-09 13:06:00,6.1549368970376515,1.0,1.5511030000000001,1.0062262213042108,0,3.7584541349099543,1.5
1695,1715,P405,lab,breathing,5,0.7944586027836096,2019-10-09 13:07:00,4.555665013694357,1.0,1.466833,0.833460304534181,1,3.1196601650899094,3.1196601650899094
1696,1716,P405,lab,breathing,6,0.7944586027836096,2019-10-09 13:08:00,3.999244835527136,1.0,1.439008,0.8735089324058081,1,2.897410366164933,2.897410366164933
1697,1717,P405,lab,breathing,7,0.7944586027836096,2019-10-09 13:09:00,3.5119893576573995,1.0,1.442188,0.7809763449459457,1,2.7027868851503802,2.7027868851503802
1698,1718,P405,lab,breathing,8,0.7944586027836096,2019-10-09 13:10:00,2.5568132923766007,1.0,1.439008,0.7663300624499564,1,2.321262819747401,2.321262819747401
1699,1719,P405,lab,breathing,9,0.7944586027836096,2019-10-09 13:11:00,2.2322686077373777,1.0,1.439008,0.6809580000000001,1,2.1916305854513256,2.1916305854513256
1700,1720,P405,lab,breathing,10,0.7944586027836096,2019-10-09 13:12:00,8.576900822525845,1.0,1.545538,1.2206428636480449,0,4.725854341739853,1.5
1701,1721,P405,lab,breathing,11,0.7944586027836096,2019-10-09 13:13:00,5.974560556552301,1.0,1.452523,0.7235250959669051,0,3.686406773982572,1.5
1702,1722,P405,lab,breathing,12,0.7944586027836096,2019-10-09 13:14:00,1.5333038890000616,1.0,1.439008,0.668876,0,1.9124445057755168,1.5
1703,1723,P405,lab,breathing,13,0.7944586027836096,2019-10-09 13:15:00,0.028198736833127874,1.0,1.439008,0.668876,0,1.3112633650557826,1.3112633650557826
1704,1724,P405,lab,breathing,14,0.7944586027836096,2019-10-09 13:16:00,6.286431943846708,1.0,1.439008,0.7142799711038583,0,3.8109769384668035,1.5
1705,1725,P405,lab,breathing,15,0.7944586027836096,2019-10-09 13:17:00,0.12342461107153152,1.0,1.439008,0.668876,0,1.3492992455510795,1.3492992455510795
